product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Павловская,6920,820,Напитки,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2006-12-08,2026-02-02,Awaiting Review
2,Хурма,1247,649,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2003-03-24,2028-05-02,In Stock
4,Брынза,4160,646,Молочные продукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2003-09-03,2027-01-03,Cancelled
5,Морковь,1319,629,Овощи,"Богат кальцием, необходимым для укрепления костей и зубов.",2009-01-09,2012-03-09,Awaiting Review
6,Пакеты для растений,7725,927,Товары для дома,Широко используется в традиционной и современной кухне.,2004-02-20,2020-07-02,Awaiting Payment
7,Королевская,7840,804,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2010-10-07,2029-01-14,Awaiting Review
8,Пакеты для Всемирного дня окружающей среды,7380,705,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1993-01-07,1999-05-22,Out of Stock
9,Домашние колбасы,972,712,Мясо,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1992-06-03,2001-02-14,Awaiting Review
12,Каша из сорго,1791,600,Бакалея,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1998-01-03,2020-08-03,Awaiting Review
13,Пакеты для театра,3608,686,Товары для дома,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2000-03-04,2007-03-01,Returned
16,Фета,2464,955,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2000-08-14,2014-04-02,Shipping
18,Родники Алтая,7226,589,Напитки,"Является источником важных нутриентов, необходимых для роста и развития детей.",2021-01-05,2026-03-01,Cancelled
20,Салями,8008,738,Мясо,Прошел все необходимые сертификации и соответствует международным стандартам.,2022-08-06,2026-02-07,Temporarily Unavailable
25,Мате,4355,799,Напитки,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2018-01-05,2019-03-02,Awaiting Payment
38,Каша из дробленного пшена,1109,641,Бакалея,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2000-03-13,2021-11-20,On Backorder
39,Салями,5508,811,Мясо,Помогает улучшить когнитивные функции и память.,2005-09-05,2011-11-09,Refunded
40,Квас хлебный,2817,785,Напитки,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",1993-07-02,2001-02-10,Pending
42,Пакеты для выставки,3095,681,Товары для дома,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",2009-01-01,2011-03-23,Shipping
43,Конопляные семена,4957,681,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2015-05-07,2030-10-04,Available for Pickup
46,Слива,5274,619,Фрукты,"Помогает улучшить состояние волос, ногтей и кожи.",2017-03-13,2027-04-09,Available for Pickup
47,Брюква,219,993,Овощи,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2005-03-03,2022-03-01,Shipping
49,Клюква,3819,952,Фрукты,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2017-02-02,2023-02-18,Temporarily Unavailable
53,Гамбургеры,8642,773,Мясо,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1996-03-14,2007-01-01,Returned
58,Цукини,2422,896,Овощи,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2004-08-03,2025-01-19,Out of Stock
59,Блины с мясом,2062,977,Мясо,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2015-07-06,2022-08-15,Out of Stock
62,Форосская,8590,992,Напитки,Отличается удобством использования и экономичностью в расходе.,1995-05-11,2014-02-02,Out of Stock
64,Сбитень медовый,9335,646,Напитки,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1991-03-04,2022-07-11,Backorder
65,Брынза,4344,940,Молочные продукты,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2003-01-04,2019-01-02,Pending
66,Павловская,7301,872,Напитки,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2004-04-10,2022-01-10,Cancelled
70,Молоко,1890,776,Молочные продукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-01-12,2024-01-11,Cancelled
71,Груша,5059,915,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2018-01-26,2021-01-03,Delivered
72,Кружки,1305,682,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2001-02-10,2026-11-26,Cancelled
76,Пакеты для запекания,6337,623,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2002-02-04,2013-04-02,Available for Pickup
