Product ID,Name,$ Price:,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
1,Schweppes Tonic Water,3768,44,Напитки,Подходит для использования в качестве замены традиционных молочных продуктов.,2022-06-01,2022-06-01,3.12,Out of Stock
2,Марциальная вода,4266,342,Напитки,Помогает поддерживать нормальный уровень гемоглобина в крови.,2030-01-21,2030-01-21,1.27,Out of Stock
3,Турнепс,990,63,Овощи,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2013-08-05,2013-08-05,1.3,Backorder
4,Подносы,6697,662,Товары для дома,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2024-08-25,2024-08-25,1.2,On Backorder
5,Мордовская,8828,8,Напитки,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2030-04-02,2030-04-02,2.62,Awaiting Payment
6,Свекла,7470,487,Овощи,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2025-01-01,2025-01-01,3.43,Temporarily Unavailable
7,Сырокопченая колбаса,7721,645,Мясо,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2020-09-01,2020-09-01,1.13,Pending
8,Пакеты для Дня знаний,3323,178,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2017-02-01,2017-02-01,4.92,Shipping
9,Окра,7807,28,Овощи,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2024-06-17,2024-06-17,0.25,Out of Stock
10,Индейка,5455,346,Мясо,Помогает сохранять бодрость и активность в течение дня.,2004-01-03,2004-01-03,0.24,Pending
11,Адыгейский сыр,9488,177,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2028-02-01,2028-02-01,0.49,Temporarily Unavailable
12,Шахтинская,4926,710,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,2008-05-02,2008-05-02,4.41,On Backorder
13,Слива,473,230,Фрукты,Представляет собой ценный источник питательных веществ для растущего организма.,2007-03-04,2007-03-04,4.64,Returned
14,Кола,9041,253,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2006-05-11,2006-05-11,4.63,Shipping
15,Адыгейский сыр,4346,807,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2017-02-01,2017-02-01,2.75,Delivered
16,Массандра,9741,821,Напитки,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2004-08-22,2004-08-22,4.11,Cancelled
17,Персик,8344,580,Фрукты,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2000-02-06,2000-02-06,4.5,Out of Stock
18,Редис,6257,298,Овощи,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2022-06-06,2022-06-06,4.11,Pending
19,Мешки для мусора,5264,496,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,2014-04-05,2014-04-05,4.32,Temporarily Unavailable
20,Каша из дробленного риса,1018,793,Бакалея,Подходит для людей с чувствительным пищеварением.,2005-01-16,2005-01-16,1.84,Delivered
21,Укроп,1476,834,Овощи,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2023-02-17,2023-02-17,2.32,Sold
22,Пакеты для инструментов,2003,229,Товары для дома,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2021-05-03,2021-05-03,0.22,Cancelled
23,Редис,8569,226,Овощи,Помогает поддерживать нормальный уровень pH в организме.,2017-05-02,2017-05-02,4.67,Cancelled
24,Новый свет,9772,514,Напитки,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2030-06-01,2030-06-01,4.19,Available for Pickup
25,Марьинская,5682,723,Напитки,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2024-08-01,2024-08-01,0.7,Sold
26,Петрушка корневая,3913,279,Овощи,Помогает укрепить иммунную систему и защитить организм от инфекций.,2018-05-12,2018-05-12,4.33,Returned
27,Тан,8089,155,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2009-08-09,2009-08-09,3.45,Awaiting Payment
28,Бамия,6490,701,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2025-01-02,2025-01-02,1.52,Delivered
29,Сервелат,5712,128,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1998-10-10,1998-10-10,0.12,Awaiting Review
30,Яблоко,4154,469,Фрукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2024-06-01,2024-06-01,2.02,Backorder
31,Ветчина,2797,891,Мясо,Помогает сохранять бодрость и активность в течение дня.,2017-01-19,2017-01-19,1.89,Available for Pickup
32,Брынза,464,173,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2022-02-02,2022-02-02,2.65,Awaiting Review
