product_id,name,price,quantity,category,description,production_date,expiration_date,status
1,Павловская,6920,820,Напитки,"Универсальный продукт, который можно использовать в приготовлении как сладких, так и соленых блюд.",2006-12-08,2026-02-02,Awaiting Review
2,Хурма,1247,649,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2003-03-24,2028-05-02,In Stock
3,Пакеты для Дня учителя,2427,469,Товары для дома,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2022-01-15,2023-03-09,New
4,Брынза,4160,646,Молочные продукты,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2003-09-03,2027-01-03,Cancelled
5,Морковь,1319,629,Овощи,"Богат кальцием, необходимым для укрепления костей и зубов.",2009-01-09,2012-03-09,Awaiting Review
6,Пакеты для растений,7725,927,Товары для дома,Широко используется в традиционной и современной кухне.,2004-02-20,2020-07-02,Awaiting Payment
7,Королевская,7840,804,Напитки,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2010-10-07,2029-01-14,Awaiting Review
8,Пакеты для Всемирного дня окружающей среды,7380,705,Товары для дома,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",1993-01-07,1999-05-22,Out of Stock
9,Домашние колбасы,972,712,Мясо,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",1992-06-03,2001-02-14,Awaiting Review
10,Хамон,1561,452,Мясо,Отличается стабильностью вкуса и качества в течение всего срока хранения.,1994-02-28,2011-01-14,Returned
11,Айран,8772,251,Молочные продукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2018-08-09,2025-09-05,Awaiting Review
12,Каша из сорго,1791,600,Бакалея,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",1998-01-03,2020-08-03,Awaiting Review
13,Пакеты для театра,3608,686,Товары для дома,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,2000-03-04,2007-03-01,Returned
14,Каша из дробленной булгурной крупы,2998,538,Бакалея,Подходит для использования в рационе людей с повышенным давлением.,1996-02-12,2030-10-03,Awaiting Payment
15,Хурма,211,15,Фрукты,"Является источником важных микроэлементов, таких как магний и калий.",2020-01-17,2024-05-02,Awaiting Review
16,Фета,2464,955,Молочные продукты,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2000-08-14,2014-04-02,Shipping
17,Спаржа,5782,265,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2010-05-16,2012-02-16,New
18,Родники Алтая,7226,589,Напитки,"Является источником важных нутриентов, необходимых для роста и развития детей.",2021-01-05,2026-03-01,Cancelled
19,"Семечки (тыквенные, подсолнечника)",9148,154,Бакалея,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2015-03-09,2020-01-12,Awaiting Payment
20,Салями,8008,738,Мясо,Прошел все необходимые сертификации и соответствует международным стандартам.,2022-08-06,2026-02-07,Temporarily Unavailable
21,Карамбола,3854,533,Фрукты,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",1994-03-01,1995-02-23,Backorder
22,Варенец,3958,529,Молочные продукты,"Отличается высоким содержанием альфа-липоевой кислоты, мощного антиоксиданта.",2003-03-25,2014-07-18,Returned
23,Хамон,1015,490,Мясо,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2007-03-06,2020-02-01,Delivered
24,Топинамбур,3167,131,Овощи,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2007-01-01,2016-02-04,Out of Stock
25,Мате,4355,799,Напитки,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",2018-01-05,2019-03-02,Awaiting Payment
26,Тостер,8617,427,Товары для дома,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2017-02-27,2021-01-01,Pending
27,Золотое молоко,5705,528,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2011-02-05,2011-04-06,Cancelled
28,Кабанятина,9853,415,Мясо,Помогает поддерживать нормальный уровень глюкозы в крови.,2021-04-02,2029-03-03,Shipping
29,Плавленые сырки,6963,104,Бакалея,Отличается способностью повышать общий тонус и работоспособность.,2006-03-01,2020-03-02,Available for Pickup
30,Тарелки мелкие,2167,101,Товары для дома,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2013-07-15,2018-03-01,Awaiting Payment
31,Пакеты для запекания,1643,58,Товары для дома,Отличается удобством использования и экономичностью в расходе.,2014-01-06,2023-02-01,Cancelled
32,Батат,5607,206,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2002-11-01,2029-01-03,In Stock
33,Чай зеленый,3704,556,Напитки,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2010-05-08,2026-06-01,On Backorder
